row,Game Name,Category,NYC,BGG ID,BGG Rank,Avg Rating,Geek Rating,Weight,Year,Min Players,Max Players,Best Players,Recommended Players,Min Age (Manufacturer),Community Age,Min Playtime,Max Playtime,Designers,BGG Categories,Mechanics,Themes,Fans Also Like,Match Confidence,Match Method,Description
4,Anomia,Party,,67877,1863,6.69617,6.29848,1.036144578313253,2010,3,6,5,"3-6, 7",10,10+,30,30,Andrew Innes,Party Game | Real-time | Trivia | Word Game,Pattern Recognition | Speed Matching,Series: Anomia,Telestrations | Wavelength | Cockroach Poker | One Night Ultimate Werewolf | Skull | Don't Get Got! | Coup | Werewords Deluxe Edition | Two Rooms and a Boom | Monikers | A Fake Artist Goes to New York | Telestrations: 12 Player Party Pack | Codenames | Deception: Murder in Hong Kong | The Resistance: Avalon | Decrypto | Bananagrams | Camel Up (Second Edition) | Hues and Cues | Secret Hitler | The Chameleon | Spyfall 2 | Blokus | The Mind | Poetry for Neanderthals | Wits & Wagers | That Escalated Quickly | Codenames: Pictures,1.00,auto,"Anomia plays off the fact that our minds are positively brimming with all sorts of random information: things to eat, pop songs, websites, etc... Sure, under normal circumstances, it's easy to give an example of a frozen food or a dog breed, but you'll find that your brain works a little differently under pressure! To play, draw and reveal a card from the center pile. Does the symbol on your card match one on another player's card? If so, you must quickly face-off with the other player by giving an example of the person, place, or thing on their card before they can do the same for yours. If y"
5,Apples to Apples,Party,,74,8158,5.73954,5.62789,1.1527415143603132,1999,4,10,6-8,"4-10, 11",12,8+,20,30,Matthew Kirby | Mark Alan Osterhaus,Card Game | Humor | Party Game | Word Game,Hand Management | Player Judge | Simultaneous Action Selection,,Scattergories | Sorry! | Rack-O | Balderdash | Five Crowns | Rook | Catch Phrase! | Quiddler | Dutch Blitz | Boggle | Sequence | Mad Gab | Tenzi | LCR | Aggravation | Candy Land | Trekking the National Parks: Second Edition | Pit | Upwords | Mexican Train | Bananagrams | The Game of Things | Quelf | Cover Your Assets | Say Anything | Trekking the National Parks | In a Pickle | Battleship,1.00,auto,"The party game Apples to Apples consists of two decks of cards: Things and Descriptions. Each round, the active player draws a Description card (which features an adjective like ""Hairy"" or ""Smarmy"") from the deck, then the other players each secretly choose the Thing card in hand that best matches that description and plays it face-down on the table. The active player then reveals these cards and chooses the Thing card that, in his opinion, best matches the Description card, which he awards to whoever played that Thing card. This player becomes the new active player for the next round. Once a "
6,Balderdash,Party,,163,2343,6.47846,6.16633,1.3915492957746478,1984,2,6,5-6,"4-6, 7",12,12+,60,60,Laura Robinson | Paul Toyne,Bluffing | Party Game | Word Game,Paper-and-Pencil | Voting,Traditional Games: Dictionary,"Boggle | Scattergories | Apples to Apples | Bananagrams | Say Anything | Beyond Balderdash | Scrabble | Pictionary | Dutch Blitz | Pass the Pigs | Wits & Wagers | Telestrations: 12 Player Party Pack | Pit | Upwords | Cribbage | Sequence | Chronology | Cranium | Poetry for Neanderthals | Blokus | Mexican Train | Clue | Anomia: Party Edition | Tsuro | Kalah | Ticket to Ride | Shifty Eyed Spies | Machi Koro: Bright Lights, Big City",1.00,auto,"A clever repackaging of the parlor game Dictionary, Balderdash contains several cards with real words nobody has heard of. After one of those words has been read aloud, players try to come up with definitions that at least sound plausible, because points are later awarded for every opposing player who guessed that your definition was the correct one. Versions of the game as a parlor game go back at least as far as 1970, although Balderdash itself was not published until 1984. Mattel, Inc. republished Balderdash in 2006 in a form that derives its gameplay from the sequel Beyond Balderdash. Re-i"
7,Blockbuster Movie Game,Party,,9308,,4.73684,,,2000,2,6,,,8,(no votes),45,45,(Uncredited),Movies / TV / Radio theme | Party Game | Trivia,,Theme: Movies,,1.00,human_confirmed,"Pop a movie in your video or DVD player - then roll 'em! Players select and watch a minute-long scene from the movie. When the producer yells, ""cut!"", time's up and players have to correctly answer questions about the scene they've just viewed. The first person to travel around the game board and collect all four movie tokens wins. Contents: 1 Game Board 6 pads of paper 6 pencils 1 die 1 60 second clapboard timer 48 ""Buying Coins"" 6 game pieces 24 Popcorn, candy, drink and movie tokens You Need: Television VCR or DVD player Your favorite movie"
8,Bohnanza,Party,,11,545,7.07932,6.96134,1.6672041277007417,1997,2,7,4-5,3-7,12,8+,45,45,Uwe Rosenberg,Card Game | Farming | Negotiation,Hand Management | Multi-Use Cards | Negotiation | Set Collection | Trading,Containers: Tin/Metal Box | Food & Drink: Vegetables | Occupation: Farmer | Series: Bean Games (Lookout) | Series: Beveled Boxes (Gigamic) | Theme: Flowers,Dominion | Carcassonne | Codenames | Camel Up | The Crew: The Quest for Planet Nine | Hanabi | Quacks | Catan | Love Letter | The Crew: Mission Deep Sea | No Thanks! | Crokinole | The Quest for El Dorado | Take 5 | Dixit | Codenames: Duet | Pandemic | 7 Wonders | Chinatown | A Fake Artist Goes to New York | Just One | Broom Service | SCOUT | Skull | QE | The Mind | El Grande | Istanbul,1.00,auto,"Bohnanza is the first in the Bohnanza family of games and has been published in several different editions, including a 2023 version with flowers. This entry lists a few different major card sets for Bohnanza: the base game for 3-5 players, the expanded game with the same name for 2-7 players (that is, first expansion included), and Bohnanza Pocket. In the game, you plant, then harvest bean cards in order to earn coins. Each player starts with a hand of random bean cards, and each card has a number on it corresponding to the number of that type of beans in the deck. Unlike in most other card g"
9,Cards Against Humanity,Party,,50381,15336,5.70618,5.53586,1.171767028627838,2009,4,30,6-8,4-10,17,16+,30,30,Josh Dillon | Daniel Dranove | Eli Halpern | Ben Hantoot | David Munk | David Pinsof | Max Temkin | Eliot Weinstein,Card Game | Humor | Mature / Adult | Party Game | Print & Play,Hand Management | Player Judge | Simultaneous Action Selection,Crowdfunding: Kickstarter,Telestrations: After Dark | Joking Hazard | Bears vs Babies | Exploding Kittens: NSFW Edition | What Do You Meme? | Poetry for Neanderthals | The Chameleon | Exploding Kittens | Ransom Notes | Betrayal at House on the Hill | Red Flags | Horrible Therapist | Hues and Cues | Bananagrams | One Night Ultimate Werewolf | Dutch Blitz: Blue Expansion Pack | A Little Wordy | Unstable Unicorns | Moose Master | Herd Mentality | Monopoly Deal Card Game | Ultimate Werewolf: Deluxe Edition | Ultimate Werewolf | Ravine | Balderdash | Betrayal at House on the Hill: 3rd Edition | One Night Ultimate Werewolf: Daybreak | Spaceteam,1.00,auto,"A party game for horrible people. In Cards Against Humanity, play begins with a judge, known as the ""Card Czar"", choosing a black question or fill-in-the-blank card from the top of the deck and showing it to all players. Each player holds a hand of ten white answer cards at the beginning of each round, and passes a card (sometimes two) to the Card Czar, face-down, representing their answer to the question on the card. The card czar determines which answer card(s) are funniest in the context of the question or fill-in-the-blank card. The player who submitted the chosen card(s) is given the ques"
10,Cockroach Poker,Party,,11971,1086,6.80296,6.60562,1.0972222222222223,2004,2,6,5,3-6,8,6+,20,20,Jacques Zeimet,Bluffing | Card Game | Party Game,Hand Management | Set Collection | Single Loser Game,Animals: Bats | Animals: Cockroaches | Animals: Frogs / Toads | Animals: Insects | Animals: Rats | Animals: Spiders | Series: Ugly Animals (Drei Magier),"Skull | A Fake Artist Goes to New York | Cockroach Poker Royal | Wavelength | Deception: Murder in Hong Kong | Coup | Monikers | Werewords Deluxe Edition | Crokinole | Decrypto | Codenames | KLASK | Captain Sonar | One Night Ultimate Werewolf | Ca$h 'n Guns: Second Edition | Telestrations | Deep Sea Adventure | Ready Set Bet | The Mind | No Thanks! | Air, Land, & Sea | Two Rooms and a Boom | Camel Up (Second Edition) | QE | Anomia | Just One | That's Not a Hat | Don't Get Got!",1.00,auto,"Cockroach Poker is a reverse set collection game that has nothing to do with poker – except that the game is all about bluffing, with cards that show cockroaches, rats and stink bugs. The goal is to force another player to collect 4 of any one type of critter. The deck includes 64 cards, with eight copies of eight types of critters. To set up the game, shuffle the deck and deal the cards out to players. On a turn, a player takes one card from their hand, lays it face down on the table, slides it to a player of their choice, and declares a type of critter, e.g., ""Stink bug"". The player receivin"
11,Codenames,Party,,178900,162,7.52536,7.4289,1.2553356616220412,2015,2,8,"6, 8","4-8, 9",10,10+,15,15,Vlaada Chvátil,Card Game | Deduction | Party Game | Spies / Secret Agents | Word Game,Communication Limits | Deduction | Memory | Race | Team-Based Game,Word Games: Guess the Word,Codenames: Duet | The Crew: The Quest for Planet Nine | Dixit | Codenames: Pictures | Hanabi | Pandemic | Just One | The Mind | Mysterium | Telestrations | Decrypto | Concept | Skull | Magic Maze | Love Letter | Carcassonne | One Night Ultimate Werewolf | Sheriff of Nottingham | Coup | Cryptid | The Crew: Mission Deep Sea | Spyfall | Deception: Murder in Hong Kong | 7 Wonders | Sushi Go Party! | Bohnanza | Captain Sonar | Wavelength,1.00,auto,"Two rival spymasters know the secret identities of 25 agents. Their teammates know the agents only by their codenames — single-word labels like ""disease"", ""Germany"", and ""carrot"". Yes, carrot. It's a legitimate codename. Each spymaster wants their team to identify their agents first...without uncovering the assassin by mistake. In Codenames, two teams compete to see who can make contact with all of their agents first. Lay out 25 cards, each bearing a single word. The spymasters look at a card showing the identity of each card, then take turns clueing their teammates. A clue consists of a singl"
12,Codenames: Pictures,Party,,198773,502,7.17639,6.9993,1.2394736842105263,2016,2,8,6,"4-8, 9",10,8+,15,15,Vlaada Chvátil,Card Game | Deduction | Party Game | Spies / Secret Agents,Communication Limits | Memory | Team-Based Game,,Codenames | Dixit | The Mind | Love Letter | BANG! The Dice Game | Codenames: Duet | One Night Ultimate Werewolf | Secret Hitler | Spyfall | Magic Maze | Sheriff of Nottingham | Telestrations | Sushi Go Party! | Decrypto | Hanabi | Coup | Mysterium | Pandemic | Cryptid | Ticket to Ride: Europe | Concept | Citadels | Deception: Murder in Hong Kong | The Crew: The Quest for Planet Nine | Ca$h 'n Guns: Second Edition | Skull | Sheriff of Nottingham: 2nd Edition | Camel Up (Second Edition),1.00,auto,"What are these strange symbols on the map? They are code for locations where spies must contact secret agents! Two rival spymasters know the agent in each location. They deliver coded messages telling their field operatives where to go for clandestine meetings. Operatives must be clever. A decoding mistake could lead to an unpleasant encounter with an enemy agent – or worse, with the assassin! Both teams race to contact all their agents, but only one team can win. Codenames: Pictures differs from the original Codenames in that the agents are no longer represented by a single word, but by an im"
13,Concept,Party,,147151,1130,6.74141,6.5845,1.375,2013,4,12,6,3-12,10,10+,40,40,Gaëtan Beaujannot | Alain Rivollet,Deduction | Party Game | Word Game,Communication Limits | Race | Team-Based Game,Organizations: Forgenext,Magic Maze | Codenames | The Mind | Mysterium | Dixit | Hanabi | The Game | Just One | Obscurio | The Crew: The Quest for Planet Nine | Telestrations | Cryptid | Codenames: Pictures | When I Dream | Codenames: Duet | Colt Express | Spyfall | Detective Club | Love Letter | Decrypto | Stella: Dixit Universe | Celestia | Mysterium Park | Mascarade | MicroMacro: Crime City | Love Letter | Captain Sonar | So Clover!,1.00,auto,"In Concept, your goal is to guess words through the association of icons. A team of two players – neighbors at the table – choose a word or phrase that the other players need to guess. Acting together, this team places pieces judiciously on the available icons on the game board. To get others to guess ""milk"", for example, the team might place the question mark icon (which signifies the main concept) on the liquid icon, then cubes of this color on the icons for ""food/drink"" and ""white"". For a more complicated concept, such as ""Leonardo DiCaprio"", the team can use the main concept and its matchi"
