"The Merry Meeple  ·  Game Library  ·  1086 Fulton Street, Bed-Stuy, Brooklyn",,,,,,,,,,,
348 titles  ·  BGG data matched for 224 titles  ·  MSRP & Street Price approximate — verify before ordering  ·  ★ = NYC/Brooklyn theme,,,,,,,,,,,
#,Game Name,Category,NYC,BGG Rank,Rating,Weight,Why We're Stocking It,Staff Notes,Distributor,MSRP ($),Street (~$)
1,Anomia,Party,,,,,"Players race to name examples of categories when symbols match. Simple premise, chaotic execution. Plays 3–6 in 30 minutes with zero setup.",Fast-reaction word game; catches people off guard,Alliance Game Distributors,$16.00,$13.99
2,Apples to Apples,Party,,,,,4–10 in 30 minutes. A generation's introduction to party card games. Well-known enough that no staff explanation is needed.,Classic word-comparison card game; universal recognition,Alliance Game Distributors,$24.99,$19.99
3,Balderdash,Party,,,,,"Players write fake definitions for real obscure words. Simple, accessible, and generates genuine laughter. Plays 2–6 in 30 minutes.",Bluffing with fake definitions; classic for a reason,Alliance Game Distributors,$24.99,$19.99
4,Blockbuster Movie Game,Party,,,,,Teams compete to name movies matching prompts in a video-store framing. Accessible to film fans of all depths. Plays 4–10 in 30 minutes.,Movie-trivia head-to-head; cinephile essential,Alliance Game Distributors,$29.99,$23.99
5,Bohnanza,Party,,543,7.08,1.7,"Players trade bean cards to complete sets, but can't rearrange their hand. Forces negotiation and laughter. Plays 2–7 in 45 minutes.",Bean-trading negotiation; deeply social,Alliance Game Distributors,$19.99,$15.99
6,Cards Against Humanity,Party,,,,,4–30 in 30–90 minutes. Most-requested adult party game. Keep behind counter; staff-issue only to verified adult groups. Not for family or daytime positioning.,Irreverent adult card game; highest-request title for adult groups,Publisher Direct,$29.99,$29.99
7,Cockroach Poker,Party,,,,,"Players try to offload bug cards through bluffing. Plays 2–6, takes 15 minutes, teaches instantly. Excellent gateway to deeper bluffing games.",Reverse set-collection bluffing; mean and funny,Alliance Game Distributors,$14.99,$12.99
8,Codenames,Party,,161,7.53,1.3,"The best-selling party game of the past decade. Simple rules, plays 4–8, teaches in 2 minutes. Every game is different. Staff can join as spymaster to facilitate groups of strangers.",Highest-replayability word game; café staple,Alliance Game Distributors,$19.99,$15.99
9,Codenames: Pictures,Party,,499,7.18,1.2,Replaces words with illustrated cards — removes language barrier and creates a fresh experience for Codenames regulars. Strong visual appeal on café shelves.,Visual variant; accessible to non-English speakers,Alliance Game Distributors,$19.99,$15.99
10,Concept,Party,,,,,Players give clues using symbol markers without speaking. Completely language-free. Plays 4–12 in 40 minutes. Strong accessibility for international guests.,Silent clue-giving with icons; no language barrier,Asmodee USA Direct,$34.99,$27.99
11,Decrypto,Party,,116,7.77,1.8,Two teams encode and intercept messages across rounds. Rewards creative thinking and builds across a session. Plays 3–8 in 30 minutes.,Team code-cracking word game; smart party game,Alliance Game Distributors,$24.99,$19.99
12,Dixit,Party,,422,7.18,1.2,"Dreamlike illustrated cards align with Merry Meeple's visual identity. Low language barrier, works across ages, plays 3–6. One of the most-played café games globally.",Storytelling card game; strong Dark Academia aesthetic,Asmodee USA Direct,$39.99,$32.00
13,Escape: The Curse of the Temple,Party,,821,6.95,1.5,Players race against a 10-minute soundtrack to escape a temple. Frantic and cooperative. Plays 1–5 in exactly 10 minutes.,Real-time cooperative dice game; 10-minute soundtrack,Alliance Game Distributors,$34.99,$27.99
14,Fake Artist Goes to New York,Party,★,753,7.11,1.1,Players collectively draw an object — except one player doesn't know what it is. Plays 5–10 in 20 minutes. Oink's most-played title.,Drawing game with a secret fake artist,Publisher Direct,$19.99,$15.99
15,For Sale,Party,,354,7.27,1.3,"First buy properties, then sell them. Two-phase design creates a clean arc. Plays 3–6 in 20 minutes. One of the best card fillers ever made.",Two-phase auction filler; brilliant in 20 minutes,Alliance Game Distributors,$24.99,$19.99
16,Happy Salmon,Party,,,,,Players simultaneously shout actions and physically perform them with partners. Loudest game in the library. Plays 3–6 in 2 minutes. Stock multiple copies.,Frantic real-time card-matching; pure chaos,Alliance Game Distributors,$14.99,$11.99
